firstname,lastname,city,ftdonor,beenthanked,amount,singleormonthly,callsign,parish,groupcallout,comment
Zachary,Wall,Mermik,FALSE,TRUE,57.88,single,WSHB,arcu et pede.,sem ut cursus,sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis
Sybil,Browning,Seattle,FALSE,FALSE,54.91,monthly,WRRO,ridiculus mus. Aenean,Pellentesque,mauris id sapien. Cras dolor dolor tempus non lacinia at iaculis quis pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient
Amena,Johns,Chastre-Villeroux-Blanmont,FALSE,TRUE,3.37,monthly,WFOT,venenatis a,nisl,erat eget tincidunt dui augue eu tellus. Phasellus elit pede malesuada vel venenatis vel faucibus id libero. Donec consectetuer mauris id sapien. Cras dolor dolor
Brenda,Head,Antuco,TRUE,FALSE,17.72,monthly,WHRQ,lacus. Ut nec,sollicitudin adipiscing,ac facilisis facilisis magna tellus faucibus leo in lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa
Upton,Frederick,Bonavista,TRUE,FALSE,41.48,single,WRRO,et magnis,nisl,nec imperdiet nec leo. Morbi neque tellus imperdiet non vestibulum nec euismod in dolor. Fusce feugiat. Lorem ipsum dolor sit amet consectetuer adipiscing elit. Aliquam
Sawyer,Freeman,Glabais,FALSE,FALSE,59.57,single,WLBJ,nisi,neque sed dictum,tristique ac eleifend vitae erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare
Isabella,Zamora,Akola,TRUE,TRUE,25.32,monthly,WNOC,eu placerat,aliquam eros turpis,vestibulum lorem sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus et magnis dis
Nadine,Giles,San Gregorio nelle Alpi,TRUE,TRUE,25.83,single,WHRQ,consectetuer adipiscing elit.,nisl.,nec urna et arcu imperdiet ullamcorper. Duis
Mona,Howard,Putignano,FALSE,TRUE,8.85,monthly,WNOC,pharetra,amet ornare,Praesent interdum ligula eu enim. Etiam imperdiet dictum magna. Ut tincidunt
Regina,Evans,Boise,TRUE,FALSE,50.02,single,WFOT,Aenean,vitae aliquet nec,auctor quis tristique ac eleifend vitae
Veda,Gay,Dubbo,TRUE,TRUE,98.95,monthly,WLBJ,Nulla tempor augue,luctus,neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt nunc ac mattis ornare lectus ante dictum mi ac
Audra,Hoffman,Paupisi,TRUE,TRUE,98,monthly,WNOC,lobortis mauris. Suspendisse,natoque penatibus et,turpis nec mauris blandit mattis.
Clio,Miranda,Ham-sur-Sambre,FALSE,TRUE,61.45,single,WRRO,et,tempus lorem fringilla,tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit amet risus. Donec
Julian,Ramos,Anzegem,TRUE,FALSE,57.03,monthly,WHRQ,amet ultricies,malesuada ut sem.,consectetuer rhoncus. Nullam velit dui semper et lacinia vitae sodales at velit.
Ella,Daniel,Castelnuovo Magra,FALSE,TRUE,66.83,single,WRRO,vel,interdum,pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt.
Carlos,Walter,Sandy,TRUE,TRUE,22.13,single,WSHB,Ut nec,Morbi quis,porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt neque vitae
Abbot,Russo,Amstetten,FALSE,FALSE,83.53,single,WHRQ,nonummy ac,Curae;,pede ultrices a auctor non feugiat nec diam. Duis mi enim condimentum eget volutpat ornare facilisis eget ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum
